id,shock.stage,temp.avg,temp.var,hs.temp,hs.num,date.died,date.hatch,date.ovp,time.ovp,num.ovp,date.3,mass.3,mass.in.hs,inst.in.hs,date.in.hs,time.in.hs,date.out.hs,time.out.hs,date.4,mass.4,date.5,mass.5,date.p5.1,mass.p5.1,instar.p5.1,date.p5.2,mass.p5.2,inst.p5.2,date.p5.3,mass.p5.3,inst.p5.3,date.p5.4,mass.p5.4,inst.p5.4,date.cull,mass.cull,date.wand,mass.wand,date.em,instar.em,bled.em,mass.48em,num.em,num.coc,num.fail.spin,date.ecl,num.ecl,fem.ecl,male.ecl,fem.mass,male.mass,num.unem.mat,num.unem.im,mat.load,tot.load,mass.unem,mass.fail.spin,pup,moth.ecl,pv.dna,gen.notes,diss.notes
67,mid ,25,10,42,3,,10/19/18,10/24/18,9:52,2,10/24/18,60.57,461.67,4,10/28/18,12:05,10/30/18,16:14,10/28/18,461.67,11/4/18,1815.37,,,,,,,,,,,,,#N/A,#N/A,#N/A,#N/A,11/9/18,5,0,4594.88,193,185,8,,0,0,0,0,0,39,,232,232,,,,,,,"2 wasp larvae that looked caught in cuticle at molt to 3rd. 1 1st, not counted"
68,late,25,10,42,3,,10/19/18,10/24/18,10:01,1,10/24/18,55.44,FALSE,,,,,,10/30/18,197.03,,,,,,,,,,,,,,,#N/A,#N/A,#N/A,#N/A,11/6/18,4,0,548.89,7,7,0,11/12/18,4,0,4,0,1.11,1,1,8,9,,,,,,,"found 1 giant egg, 1 immat 2nd instar"
69,control,25,10,0,0,,10/19/18,10/24/18,10:08,2,10/24/18,71.41,FALSE,,,,,,10/28/18,177.8,11/2/18,981.9,,,,,,,,,,,,,#N/A,#N/A,#N/A,#N/A,11/7/18,5,0,3369.06,163,143,20,11/13/18,114,39,75,9.41,14.65,19,1,182,183,,,,,,,"mostly mature 2nds, 1 immature 2nd, not kept"
70,early,25,10,42,3,,10/19/18,10/24/18,9:43,1,10/24/18,49.09,49.09,3,10/24/18,10:30,10/26/18,16:26,10/30/18,267.61,11/3/18,1622.11,11/12/18,11023.43,5,11/19/18,14811.21,5,11/26/18,15212.44,cull,,,,11/26/18,15212.44,#N/A,#N/A,11/5/18,5,1,1692.87,0,0,0,,0,,,,,,,0,0,,,,,,"there were no cocoons or wasp larvae in petri dish at 48 hr post em. Maybe eaten by caterpillar? weighed 2 days late for P5.1, P5.2 & P5.3",
71,mid,25,10,42,3,,10/19/18,10/24/18,9:53,1,10/24/18,53.55,292.33,4,10/28/18,12:05,10/30/18,16:14,10/28/18,292.33,11/3/18,962.28,,,,,,,,,,,,,#N/A,#N/A,#N/A,#N/A,11/9/18,5,0,3629.81,118,110,8,11/15/18,103,43,60,11.1,11.88,18,8,136,144,,,,,,,"8 immature 2nds, saved separately. 3 1st instars"
72,late,25,10,42,3,11/5/18,10/19/18,10/24/18,10:01,1,10/24/18,53.94,1184.48,5,11/4/18,11:15,,,10/28/18,306.38,11/3/18,1137.96,,,,,,,,,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,,,#N/A,0,,,,0,,,,,,,0,0,,,,,,removed cuticle from 4-5th prolegs at molt to 5th. died during heat shock,
73,mid,25,10,42,3,,10/19/18,10/24/18,9:54,1,10/24/18,56.7,511.24,4,10/28/18,12:05,10/30/18,16:14,10/28/18,511.24,11/3/18,1502.44,,,,,,,,,,,,,#N/A,#N/A,#N/A,#N/A,11/7/18,5,0,3870.95,76,68,8,11/13/18,56,0,56,0,20.69,31,0,107,107,,,,,,,
74,control,25,10,42,3,,10/19/18,10/24/18,10:02,1,10/24/18,48.76,FALSE,,,,,,10/28/18,308.78,11/2/18,1308.89,,,,,,,,,,,,,#N/A,#N/A,#N/A,#N/A,11/6/18,5,0,3190.54,87,72,15,11/12/18,61,6,55,2.19,13.39,18,2,105,107,,,,,,,"dish marked as ""late"", but all the data matches for this row, which is control. 2 immature 2nds, no 1sts seen"
75,control,25,10,0,0,,10/19/18,10/24/18,10:09,2,10/24/18,54.27,FALSE,,,,,,10/28/18,346.97,11/2/18,1755.83,,,,,,,,,,,,,#N/A,#N/A,#N/A,#N/A,11/7/18,5,0,5524.47,330,214,116,,0,0,0,0,0,,,330,330,,,,,,,
76,early,25,10,42,3,,10/19/18,10/24/18,9:44,1,10/24/18,67.13,67.13,3,10/24/18,10:30,10/26/18,16:26,10/29/18,290.61,11/3/18,1345.28,11/10/18,10763.22,5,11/17/18,14466.48,5,11/24/18,15252.44,cull,,,,11/24/18,15252.44,#N/A,#N/A,#N/A,,,#N/A,0,,,,0,,,,,,,0,0,,,,,,removed cuticle from 3rd-5th prolegs at molt to 5th,
77,mid,25,10,42,3,10/31/18,10/19/18,10/24/18,9:56,2,10/24/18,59.9,287.82,3,10/28/18,12:05,10/30/18,16:14,10/29/18,223.02,11/5/18,,,,,,,,,,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,,,#N/A,0,,,,0,,,,,,,0,0,,,,,,,
78,late,25,10,42,3,11/5/18,10/19/18,10/24/18,10:03,2,10/24/18,66.99,887.31,5,11/5/18,9:12,,,10/28/18,178.53,11/4/18,784.06,,,,,,,,,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,,,#N/A,0,,,,0,,,,,,,0,0,,,,,,removed cuticle from 4-5th prolegs at molt to 4th. removed cuticle from 4-5th prolegs at molt to 5th. died during heat shock,
79,mid,25,10,42,3,,10/19/18,10/24/18,9:57,1,10/24/18,49.87,147.98,4,10/28/18,12:05,10/30/18,16:14,10/28/18,147.98,11/3/18,755.94,,,,,,,,,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,,,#N/A,0,,,,0,,,,,,,0,0,,,,,,removed cuticle from 4-5th prolegs at molt to 4th,
80,late,25,10,42,3,,10/19/18,10/24/18,10:04,1,10/24/18,55.02,1572.82,5,11/4/18,11:15,11/6/18,16:53,10/28/18,284.66,11/3/18,1364.3,11/10/18,3100.66,5,,,,,,,,,,#N/A,#N/A,#N/A,#N/A,11/13/18,5,0,3475.82,16,13,3,11/19/18,8,3,5,0.82,1.09,45,51,61,112,,,,,,,
81,mid,25,10,42,3,,10/19/18,10/24/18,9:58,1,10/24/18,50.4,181.20,3,10/28/18,12:05,10/30/18,16:14,10/29/18,157.97,11/4/18,471.71,,,,,,,,,,,,,#N/A,#N/A,#N/A,#N/A,11/9/18,5,0,1476.93,49,47,2,11/16/18,45,24,21,8.14,4.13,,,49,49,,,,,,,
82,late,25,10,42,3,,10/19/18,10/24/18,10:05,1,10/24/18,59.91,FALSE,,,,,,10/29/18,357.19,,,,,,,,,,,,,,,#N/A,#N/A,#N/A,#N/A,11/5/18,4,1,2126.08,64,50,14,11/12/18,40,9,31,1.94,5.23,57,3,121,124,,,,,,,"3 young immature 2nds, no 1sts seen"
83,late,25,10,0,0,,10/20/18,10/25/18,9:43,1,10/25/18,69.28,FALSE,,,,,,10/30/18,284.68,,,,,,,,,,,,,,,#N/A,#N/A,#N/A,#N/A,11/6/18,4,1,1469.14,65,61,4,11/12/18,57,16,41,5.17,8.51,41,,106,106,,,,,,,"mostly mature 2nds, a few younger 2nds. 1 middling 1st, not counted in unem"
84,early,25,10,42,3,,10/20/18,10/25/18,9:45,2,10/25/18,58.67,58.67,3,10/25/18,9:45,10/27/18,16:45,11/1/18,207.41,11/6/18,1060.98,11/13/18,8630.57,5,11/20/18,11124.67,5,11/27/18,11209.84,cull,,,,11/27/18,11209.84,#N/A,#N/A,#N/A,,,#N/A,0,,,,0,,,,,,,0,0,,,,,,2 ovp by same wasp,
85,mid,25,10,42,3,11/11/18,10/20/18,10/25/18,9:35,1,10/25/18,69.46,353.46,3,10/29/18,9:00,10/31/18,16:21,10/29/18,337.22,11/5/18,1439.38,,,,,,,,,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,,,#N/A,0,,,,0,,,,,,,0,0,,,,,,"had just begun to molt into 4th, headcap off but cuticle remained. did not remove cuticle, removed 4th cuticle on 10/30/18. removed cuticle from 2nd proleg after molt into 5th.",
86,late,25,10,42,3,,10/20/18,10/25/18,9:41,1,10/25/18,50.45,2823.67,5,11/5/18,9:12,11/7/18,17:01,10/30/18,422.11,11/4/18,2359.44,11/11/18,4115.32,em,,,,,,,,,,#N/A,#N/A,#N/A,#N/A,11/11/18,5,0,4115.32,34,14,20,11/17/18,5,0,5,0,1.62,11,91,45,136,,,,,,,at least 2 1st instars
87,mid,25,10,42,3,,10/20/18,10/25/18,9:34,1,10/25/18,78.67,393.97,4,10/29/18,9:00,10/31/18,16:21,10/28/18,314.04,11/4/18,2158.79,,,,,,,,,,,,,#N/A,#N/A,#N/A,#N/A,11/9/18,5,0,4919.41,187,173,14,11/15/18,155,38,117,12.28,29.8,34,11,221,232,,,,,,,"34 mature 2nds, 11 immature 2nds, 5 1sts"
88,late,25,10,42,3,,10/20/18,10/25/18,9:40,1,10/25/18,72.42,FALSE,,,,,,10/31/18,136.22,,,,,,,,,,,,,,,#N/A,#N/A,#N/A,#N/A,11/7/18,4,0,618.88,58,44,14,11/13/18,38,18,20,4.18,3.68,27,,85,85,,,,,,,"2nds in various stages, mostly mature 2nds, but some younger, multiple 1st instars, not counted"
89,control,25,10,0,0,,10/20/18,10/25/18,9:42,1,10/25/18,70.04,FALSE,,,,,,10/28/18,480.91,11/1/18,2317.12,,,,,,,,,,,,,#N/A,#N/A,11/6/18,12155.57,#N/A,,,#N/A,0,,,,0,,,,,,,0,0,,,1,,,,
90,early,25,10,42,3,,10/20/18,10/25/18,9:44,1,10/25/18,69.77,69.77,3,10/25/18,9:45,10/27/18,16:45,10/29/18,248.28,11/4/18,1238.69,11/11/18,9155.57,5,11/18/18,11977.51,5,11/25/18,11718.1,cull,,,,11/25/18,11718.10,#N/A,#N/A,#N/A,,,#N/A,0,,,,0,,,,,,,0,0,,,,,,,
91,mid,25,10,42,3,11/8/18,10/20/18,10/25/18,9:33,1,10/25/18,54.3,216.09,3,10/29/18,9:00,10/31/18,16:21,10/30/18,185.68,11/7/18,395.39,,,,,,,,,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,,,#N/A,0,,,,0,,,,,,,0,0,,,,,,,
92,late,25,10,42,3,,10/20/18,10/25/18,9:39,1,10/25/18,58.98,1949.97,5,11/4/18,11:15,11/6/18,16:53,10/29/18,252.02,11/3/18,1678.51,11/10/18,3408.77,5,,,,,,,,,,#N/A,#N/A,#N/A,#N/A,11/11/18,,,3123.04,8,7,1,11/18/18,5,3,2,0.89,0.34,37,27,45,72,,,,,,horn damaged at ovp,"27 immature 2nds of various sizes, at least 11 1sts"
93,mid,25,10,42,3,,10/20/18,10/25/18,9:32,1,10/25/18,72.06,333.91,3,10/29/18,9:00,10/31/18,16:21,10/30/18,351.96,,,,,,,,,,,,,,,#N/A,#N/A,#N/A,#N/A,11/8/18,4,1,1292.11,40,32,8,11/14/18,20,3,17,1.07,3.59,11,,51,51,,,,,,,all mature 2nds
94,late,25,10,42,3,,10/20/18,10/25/18,9:38,1,10/25/18,55.24,2006.77,5,11/4/18,11:15,11/6/18,16:53,10/28/18,225.48,11/3/18,1268.09,11/10/18,2865.96,5,,,,,,,,,,#N/A,#N/A,#N/A,#N/A,11/12/18,5,0,2747.12,2,2,0,11/19/18,2,0,2,0,0.42,50,65,52,117,,,,,,,65 immature 2nds of various sizes. at least 3 1sts
95,mid,25,10,42,3,,10/20/18,10/25/18,9:31,1,10/25/18,65.1,255.56,3,10/29/18,9:00,10/31/18,16:21,10/30/18,270.54,11/5/18,1532.47,,,,,,,,,,,,,#N/A,#N/A,#N/A,#N/A,11/10/18,5,0,4232.02,116,103,13,11/17/18,83,47,36,11.78,8.85,13,3,129,132,,,,,,,3 small immatue 2nds. at least 1 small 1st. at least 1 well defined melanized plaque
96,late,25,10,42,3,,10/20/18,10/25/18,9:37,1,10/25/18,62.45,2617.75,5,11/4/18,11:15,11/6/18,16:53,10/29/18,337.89,11/3/18,1618.54,11/10/18,3819.92,5,,,,,,,,,,#N/A,#N/A,#N/A,#N/A,11/13/18,5,0,3997.19,0,0,0,,0,,,,,34,63,34,97,,,,,,"had melanized circles on dorsal cuticle--looks like wasp larvae had tried to chew through and failed? Marking 11/13/18 as date of emergence. Putting small piece of food in clean dish to see if it will still eat. 11/15/18, caterpllar did not eat. Treated as had emergence and froze.",
97,control,25,10,0,0,,10/19/18,10/25/18,10:17,1,10/25/18,77.45,FALSE,,,,,,10/29/18,372.89,11/4/18,2671.04,,,,,,,,,,,,,#N/A,#N/A,#N/A,#N/A,11/8/18,5,0,2315.46,105,102,3,11/15/18,86,45,41,12.78,9.97,27,9,132,141,,,,,,,"27 mature 2nds, 9 immature 2nds, 4 1sts that I found"
98,early,25,10,42,3,,10/19/18,10/25/18,10:13,3,10/25/18,46.89,46.89,3,10/25/18,10:20,10/27/18,16:45,10/30/18,350.1,11/5/18,2216.94,11/12/18,14274.66,5,11/19/18,18021.08,5,11/26/18,17157.61,cull,,,,11/26/18,17157.61,#N/A,#N/A,#N/A,,,#N/A,0,,,,0,,,,,,,0,0,,,,,,,
99,mid,25,10,42,3,,10/19/18,10/25/18,9:57,1,10/25/18,69.16,371.63,3,10/29/18,9:00,10/31/18,16:21,10/29/18,348.51,11/5/18,1370.46,,,,,,,,,,,,,#N/A,#N/A,#N/A,#N/A,11/10/18,5,0,3028.75,105,67,38,11/16/18,36,12,24,3.17,5.5,15,4,120,124,,,,,,horn damaged at ovp. removed cuticle from 4th proleg after molt into 4th.,4 immature 2nds of various sizes. 1 small 1st
100,late,25,10,42,3,,10/19/18,10/25/18,10:09,1,10/25/18,66.61,2092.22,5,11/4/18,11:15,11/6/18,16:53,10/28/18,324.78,11/3/18,1686.73,11/10/18,1570.35,5,,,,,,,,,,#N/A,#N/A,#N/A,#N/A,11/13/18,5,0,1009.48,1,0,1,,0,,,,,12,52,13,65,,,,,,removed cuticle from 5th prolegs at molt to 5th,"52 immature 2nds of various sizes, mostly small--some could have been 1sts. at least 7 1sts. most larvae were small and had whiteish spots in abdomen, have seen in other specimens as well"
101,mid,25,10,42,3,10/29/18,10/19/18,10/25/18,9:56,1,10/25/18,60.88,219.19,3,10/29/18,9:00,,,,,,,,,,,,,,,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,,,#N/A,0,,,,0,,,,,,,0,0,,,,,,attempted to remove cutcile after molt into 4th and caterpillar died.,
102,late,25,10,42,3,,10/19/18,10/25/18,10:08,1,10/25/18,77.78,3923.51,5,11/1/18,8:10,11/3/18,16:45,10/28/18,652.01,10/31/18,1861.15,,,,,,,,,,,,,#N/A,#N/A,11/6/18,9832.78,#N/A,,,#N/A,0,,,,0,,,,,,,0,0,,,1,,,,
103,control,25,10,0,0,,10/19/18,10/25/18,10:16,2,10/25/18,54.96,FALSE,,,,,,10/29/18,359.29,11/4/18,2381.05,,,,,,,,,,,,,#N/A,#N/A,#N/A,#N/A,11/8/18,5,1,4732.29,110,53,57,11/15/18,35,8,27,2.42,5.68,54,,164,164,,,,,,,"mostly mature 2nds, 1 or 2 that looked like they had not shed their cuticle when molting to 3rd. a few 1st instars, not counted"
104,early,25,10,42,3,,10/19/18,10/25/18,10:12,1,10/25/18,65.45,65.45,3,10/25/18,10:20,10/27/18,16:45,10/28/18,282.71,11/2/18,1445.78,11/9/18,12322.68,5,,,,,,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,,,#N/A,0,,,,0,,,,,,,0,0,,,,,,,
105,mid,25,10,42,3,11/7/18,10/19/18,10/25/18,9:55,1,10/25/18,54.71,417.19,4,10/29/18,9:00,10/31/18,16:21,10/28/18,350.33,11/4/18,1765.71,,,,,,,,,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,,,#N/A,0,,,,0,,,,,,,0,0,,,,,,removed cuticle from all prolegs at molt to 5th,
106,late,25,10,42,3,,10/19/18,10/25/18,10:07,1,10/25/18,57.81,2973.34,5,11/4/18,11:15,11/6/18,16:53,10/29/18,301.86,11/3/18,1906.7,11/10/18,4196.4,5,11/17/18,4038.42,5,,,,,,,11/23/18,3565.29,#N/A,#N/A,#N/A,,,#N/A,0,,,,0,,,,,,,0,0,,,,,,on 11/20/18 found a melanized spot that seems like a larvae tried to chew through cuticle. waiting to cull at p5.3.,
107,mid,25,10,42,3,10/30/18,10/19/18,10/25/18,9:54,1,10/25/18,71.49,220.60,3,10/29/18,9:00,,,,,,,,,,,,,,,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,,,#N/A,0,,,,0,,,,,,,0,0,,,,,,died during heat shock,
108,control,25,10,0,0,,10/19/18,10/25/18,10:06,1,10/25/18,79.25,FALSE,,,,,,10/28/18,263.43,11/2/18,1433.11,,,,,,,,,,,,,#N/A,#N/A,#N/A,#N/A,11/6/18,5,0,3798.61,97,66,31,11/12/18,48,14,34,5.29,8.44,26,0,123,123,,,,,,,
109,control,25,10,0,0,,10/19/18,10/25/18,10:14,1,10/25/18,61.5,FALSE,,,,,,10/31/18,303.02,11/5/18,1922.86,,,,,,,,,,,,,#N/A,#N/A,#N/A,#N/A,11/9/18,5,0,3990.42,109,102,7,11/15/18,69,17,52,5.54,12.82,20,2,129,131,,,,,,,
110,early,25,10,42,3,,10/19/18,10/25/18,10:11,2,10/25/18,79.58,79.58,3,10/25/18,10:20,10/27/18,16:45,10/31/18,337.64,11/5/18,1615.59,11/12/18,14670.43,5,11/19/18,17973.66,5,11/26/18,16715.74,cull,,,,11/26/18,16715.74,#N/A,#N/A,#N/A,,,#N/A,0,,,,0,,,,,,,0,0,,,,,,removed cuticle from 4th proleg and headcap after molt into 5th.,
111,mid,25,10,42,3,,10/19/18,10/25/18,9:53,1,10/25/18,62.56,296.54,3,10/29/18,9:00,10/31/18,16:21,10/29/18,268.6,11/4/18,1320.34,,,,,,,,,,,,,#N/A,#N/A,#N/A,#N/A,11/9/18,5,0,2456.04,94,85,9,11/15/18,70,37,33,14.29,10.24,,,94,94,,,,,,,
112,control,25,10,42,3,,10/19/18,10/25/18,10:04,2,10/25/18,59.55,FALSE,,,,,,10/28/18,281.81,11/2/18,1477.09,,,,,,,,,,,,,#N/A,#N/A,#N/A,#N/A,11/7/18,5,0,4829.72,149,134,15,11/13/18,100,35,65,8.97,13.08,68,3,217,220,,,,,,,3 immature 2nds. at least 1 1st
113,mid,25,10,42,3,,10/19/18,10/25/18,9:59,1,10/25/18,63.14,345.88,3,10/29/18,9:00,10/31/18,16:21,10/29/18,300.35,11/6/18,1239.92,,,,,,,,,,,,,#N/A,#N/A,#N/A,#N/A,11/11/18,5,0,2464.83,85,80,5,11/17/18,72,0,72,0,15.64,4,1,89,90,,,,,,removed cuticle from 5th proleg after molt into 4th.,
114,late,25,10,42,3,,10/19/18,10/25/18,10:03,1,10/25/18,69.76,2430.39,5,11/5/18,9:12,11/7/18,17:01,10/29/18,350.17,11/4/18,2018.32,11/11/18,3258.72,em,,,,,,,,,,#N/A,#N/A,#N/A,#N/A,11/11/18,5,0,3258.72,38,25,13,11/17/18,16,5,11,1.36,2.81,36,4,74,78,,,,,,,4 immature 2nds of various sizes. no 1sts seen. a few mature 2nds that had cuticle stuck to them
115,mid,25,10,42,3,,10/19/18,10/25/18,9:58,1,10/25/18,60.82,360.27,3,10/29/18,9:00,10/31/18,16:21,10/29/18,349.23,11/5/18,1417.75,,,,,,,,,,,,,#N/A,#N/A,#N/A,#N/A,11/10/18,5,0,2867.33,80,63,17,11/16/18,55,3,52,0.99,11.09,,,80,80,,,,,,"had just begun to molt into 4th, headcap off but cuticle remained. did not remove cuticle, removed 4th cuticle on 10/30/18. had wasp emergence the afternoon of its p5.1 date",
116,late,25,10,42,3,,10/19/18,10/25/18,10:02,1,10/25/18,73.88,1366.35,5,11/4/18,11:15,11/6/18,16:53,10/29/18,216.67,11/3/18,1257.24,11/10/18,1521.92,5,,,,,,,,,,#N/A,#N/A,#N/A,#N/A,11/13/18,5,0,1303.12,2,0,2,,0,,,,,,,2,2,,,,,,removed cuticle from 5th prolegs at molt to 5th,
117,late,25,10,42,3,,10/20/18,10/25/18,10:01,1,10/25/18,51.95,2172.20,5,11/4/18,11:15,11/6/18,16:53,10/28/18,241.5,11/3/18,1506.85,11/10/18,3217.13,5,,,,,,,,,,#N/A,#N/A,#N/A,#N/A,11/13/18,5,0,2854.76,1,1,0,,0,0,0,0,0,43,91,44,135,,,,,,,at least 1 large distinct mel plaque. at least 2 first instars
118,late,25,10,0,0,,10/21/18,10/26/18,10:06,1,10/26/18,70.35,FALSE,,,,,,10/31/18,328.95,,,,,,,,,,,,,,,#N/A,#N/A,#N/A,#N/A,11/7/18,4,1,1208.62,22,22,0,11/14/18,19,0,19,0,4.12,7,,29,29,,,,,,,"all 2nd instars, mostly mature"
119,early,25,10,42,3,,10/21/18,10/26/18,10:12,1,10/26/18,77.55,77.55,3,10/26/18,10:20,10/28/18,20:45,11/1/18,149.69,11/6/18,709.11,11/13/18,2273.09,5,11/20/18,9413.53,5,11/27/18,11993.36,cull,,,,11/27/18,11993.36,#N/A,#N/A,#N/A,,,#N/A,0,,,,0,,,,,,,0,0,,,,,,"6th instar 11/12/18, mass = 2306.76. removed cuticle from entire body after molt into 6th.",
120,mid,25,10,42,3,11/1/18,10/21/18,10/26/18,9:38,1,10/26/18,63.2,291.20,3,10/30/18,10:10,,,10/31/18,244.84,,,,,,,,,,,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,,,#N/A,0,,,,0,,,,,,,0,0,,,,,,died during heat shock,
121,late,25,10,42,3,,10/21/18,10/26/18,9:53,1,10/26/18,56.63,2189.01,5,11/5/18,9:12,11/7/18,17:01,10/30/18,327.37,11/4/18,1924.15,11/11/18,3495.41,5,,,,,,,,,,#N/A,#N/A,#N/A,#N/A,11/12/18,5,0,3343.87,6,0,6,,0,,,,,66,17,72,89,,,,,,,
122,mid,25,10,42,3,,10/21/18,10/26/18,9:41,2,10/26/18,71.49,284.19,4,10/30/18,10:10,11/1/18,16:16,10/29/18,205.9,11/3/18,862.92,11/10/18,2726.66,5,,,,,,,,,,#N/A,#N/A,#N/A,#N/A,11/10/18,5,0,2509.72,69,60,9,11/17/18,46,4,42,0.75,6.61,,,69,69,,,,,,"did not shed over thoracic legs at 5th, could not remove. had wasp emergence the afternoon of its p5.1 date",
123,late,25,10,42,3,11/1/18,10/21/18,10/26/18,9:54,1,10/26/18,54.07,FALSE,,,,,,10/31/18,106.93,,,,,,,,,,,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,,,#N/A,0,,,,0,,,,,,,0,0,,,,,,,
124,control,25,10,0,0,10/28/18,10/21/18,10/26/18,10:07,1,10/26/18,42.09,FALSE,,,,,,,,,,,,,,,,,,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,,,#N/A,0,,,,0,,,,,,,0,0,,,,,,,
125,early,25,10,42,3,,10/21/18,10/26/18,10:14,1,10/26/18,73.83,73.83,3,10/26/18,10:20,10/28/18,20:45,10/29/18,172.81,11/4/18,1131.72,,,,,,,,,,,,,#N/A,#N/A,11/9/18,10597.34,#N/A,,,#N/A,0,,,,0,,,,,,,0,0,,,1,,,,
126,mid,25,10,42,3,10/31/18,10/21/18,10/26/18,9:43,1,10/26/18,40.43,50.16,3,10/30/18,10:10,,,,,,,,,,,,,,,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,,,#N/A,0,,,,0,,,,,,,0,0,,,,,,died during heat shock.,
127,late,25,10,42,3,,10/20/18,10/26/18,9:55,1,10/26/18,56.97,FALSE,,,,,,10/31/18,259.1,,,,,,,,,,,,,,,#N/A,#N/A,#N/A,#N/A,11/7/18,4,0,1692.32,60,59,1,11/13/18,56,22,34,5.33,6.13,17,5,77,82,,,,,,,"5 immature 2nds saved separately, 1 1st, not saved"
128,mid,25,10,42,3,,10/20/18,10/26/18,9:44,1,10/26/18,69.98,1074.14,4,10/30/18,10:10,11/1/18,16:16,10/28/18,307.74,11/2/18,1301.33,11/9/18,7049.77,wand,,,,,,,,,,#N/A,#N/A,11/9/18,7049.77,#N/A,,,#N/A,0,,,,0,,,,,,,0,0,,,,,,removed cuticle from all prolegs after molt into 5th. pupated but didn't fully shed pupal cuticle and had some abnormalities as a pupae,
129,late,25,10,42,3,,10/20/18,10/26/18,9:56,2,10/26/18,58.95,3697.54,5,11/7/18,9:20,11/9/18,17:15,10/30/18,297.37,11/6/18,2699.14,11/13/18,5306.93,em,,,,,,,,,,#N/A,#N/A,#N/A,#N/A,11/13/18,,,5306.93,68,46,22,11/20/18,23,2,21,0.51,3.75,,,68,68,,,,,,,
130,control,25,10,42,3,,10/20/18,10/26/18,10:08,1,10/26/18,75.54,FALSE,,,,,,10/31/18,373.24,11/5/18,1994.27,,,,,,,,,,,,,#N/A,#N/A,#N/A,#N/A,11/9/18,5,0,3644.75,96,95,1,11/16/18,90,7,83,1.95,16.96,,,96,96,,,,,,,
131,early,25,10,42,3,,10/20/18,10/26/18,10:15,1,10/26/18,66.45,66.45,3,10/26/18,10:20,10/28/18,20:45,10/31/18,401.04,11/6/18,2630.66,11/13/18,10437.33,,11/20/18,16430.88,5,11/27/18,15931.13,cull,,,,11/27/18,15931.13,#N/A,#N/A,#N/A,,,#N/A,0,,,,0,,,,,,,0,0,,,,,,,
132,mid,25,10,42,3,10/28/18,10/20/18,10/26/18,9:45,2,10/26/18,53.01,FALSE,,,,,,,,,,,,,,,,,,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,,,#N/A,0,,,,0,,,,,,,0,0,,,,,,,
133,late,25,10,42,3,,10/20/18,10/26/18,9:57,1,10/26/18,79.63,2287.08,5,11/7/18,9:20,11/9/18,17:15,10/30/18,277.48,11/6/18,1942.64,11/13/18,3344.21,em,,,,,,,,,,#N/A,#N/A,#N/A,#N/A,11/13/18,5,0,3344.21,51,23,28,11/20/18,7,0,7,0,1.75,36,8,87,95,,,,,,,
134,mid,25,10,42,3,,10/20/18,10/26/18,9:46,1,10/26/18,73.27,405.56,3,10/30/18,10:10,11/1/18,16:16,10/31/18,,11/9/18,1572.61,,,,,,,,,,,,,#N/A,#N/A,#N/A,#N/A,11/14/18,5,0,2187.89,69,67,2,11/20/18,46,0,46,0,12.48,14,5,83,88,,,,,,mass at 4th was missing. removed cuticle from 3rd proleg after molt into 5th.,
135,late,25,10,42,3,,10/20/18,10/26/18,9:59,2,10/26/18,62.32,2993.21,5,11/5/18,9:12,11/7/18,17:01,10/29/18,295.95,11/4/18,2166.63,11/11/18,5257.71,5,,,,,,,,,,#N/A,#N/A,#N/A,#N/A,11/12/18,5,0,4977.05,7,4,3,11/20/18,1,0,1,0,0.18,155,32,162,194,,,,,,,
136,control,25,10,0,0,,10/20/18,10/26/18,10:10,2,10/26/18,57.29,FALSE,,,,,,10/31/18,328.39,,,,,,,,,,,,,,,#N/A,#N/A,#N/A,#N/A,11/8/18,4,0,2224.64,38,29,9,11/15/18,23,8,15,1.66,2.51,,,38,38,,,,,,,
137,early,25,10,42,3,,10/20/18,10/26/18,10:16,1,10/26/18,62.75,62.75,3,10/26/18,10:20,10/28/18,20:45,10/31/18,,11/5/18,2243.62,11/12/18,14186.39,5,11/19/18,18279.91,5,11/26/18,13791.19,cull,,,,11/26/18,13791.19,#N/A,#N/A,#N/A,,,#N/A,0,,,,0,,,,,90,25,90,115,,,,,,weight at 4th missing. found on 11/5/18 at 5th molt.,"90 mature 2nds, counted in num.unem. Also were 25 immature 2nds, saved in separate tube. Did not see any 1sts."
138,mid,25,10,42,3,,10/20/18,10/26/18,9:47,1,10/26/18,59.68,414.47,3,10/30/18,10:10,11/1/18,16:16,10/31/18,346.33,11/7/18,1358.77,,,,,,,,,,,,,#N/A,#N/A,#N/A,#N/A,11/11/18,5,0,2510.33,54,53,1,11/17/18,53,16,37,6.51,11.17,8,0,62,62,,,,,,removed cuticle from 5th proleg after molt into 4th ,
